FragmentID	PGF.NH	COX.NH	CIGAR	NM	XG
WTCHG_18627:2:100:12180:2757	1	1	S	0	A0
WTCHG_18627:2:100:12183:19265	1	1	S	0	A0
WTCHG_18627:2:100:12200:15240	1	1	S	0	A0
WTCHG_18627:2:100:12225:6318	1	1	S	0	A0
WTCHG_18627:2:100:1222:10798	1	1	S	0	A0
WTCHG_18627:2:100:12234:2000	1	1	S	0	A0
WTCHG_18627:2:100:12238:18670	1	1	S	0	A0
WTCHG_18627:2:100:12240:13298	1	1	S	0	A0
WTCHG_18627:2:100:12246:4214	1	1	S	0	A0
WTCHG_18627:2:100:12255:11542	1	1	S	0	A0
WTCHG_18627:2:100:12255:15500	1	1	S	0	A0
WTCHG_18627:2:100:12255:3942	1	1	S	0	A0
WTCHG_18627:2:100:12258:4736	1	1	S	0	A0
WTCHG_18627:2:100:12261:14698	1	1	S	0	A0
WTCHG_18627:2:100:12262:1306	1	1	S	0	A0
WTCHG_18627:2:100:1226:4028	1	1	S	0	A0
WTCHG_18627:2:100:12284:3293	1	1	S	0	A0
WTCHG_18627:2:100:12289:20570	1	1	S	0	A0
WTCHG_18627:2:100:1229:18266	1	1	S	0	A0
WTCHG_18627:2:100:12306:18294	1	1	S	0	A0
WTCHG_18627:2:100:12316:9977	1	1	S	0	A0
WTCHG_18627:2:100:12323:15373	1	1	S	0	A0
WTCHG_18627:2:100:1232:19964	1	1	S	0	A0
WTCHG_18627:2:100:12330:16453	1	1	S	0	A0
WTCHG_18627:2:100:12331:5699	1	1	S	0	A0
WTCHG_18627:2:100:12338:2481	1	1	S	0	A0
WTCHG_18627:2:100:12338:5306	1	1	S	0	A0
WTCHG_18627:2:100:12338:5520	1	1	S	0	A0
WTCHG_18627:2:100:12345:20569	1	1	S	0	A0
WTCHG_18627:2:100:12362:3286	1	1	S	0	A0
WTCHG_18627:2:100:12366:20619	1	1	S	0	A0
WTCHG_18627:2:100:12369:18162	1	1	S	0	A0
WTCHG_18627:2:100:12385:11758	1	1	S	0	A0
WTCHG_18627:2:100:12385:7349	1	1	S	0	A0
WTCHG_18627:2:100:12397:16147	1	1	S	0	A0
WTCHG_18627:2:100:12397:7368	1	1	S	0	A0
WTCHG_18627:2:100:12407:1481	1	1	S	0	A0
WTCHG_18627:2:100:12409:17427	1	1	S	0	A0
WTCHG_18627:2:100:1242:2996	1	1	S	0	A0
WTCHG_18627:2:100:12452:9469	1	1	S	0	A0
WTCHG_18627:2:100:12456:13264	1	1	S	0	A0
WTCHG_18627:2:100:12479:13629	1	1	S	0	A0
WTCHG_18627:2:100:12490:10234	1	1	S	0	A0
WTCHG_18627:2:100:12505:9185	1	1	S	0	A0
WTCHG_18627:2:100:12508:3374	1	1	S	0	A0
WTCHG_18627:2:100:12537:2249	1	1	S	0	A0
